Date,Open,High,Low,Close,Adj Close,Volume,Open_INR,Open_INR_Formatted,High_INR,High_INR_Formatted,Low_INR,Low_INR_Formatted,Close_INR,Close_INR_Formatted
2005-01-03 00:00:00+00:00,290.88,292.71,290.41,291.53,291.53,20452103,24143.04,₹24143.04,24294.929999999997,₹24294.93,24104.030000000002,₹24104.03,24196.989999999998,₹24196.99
2005-01-04 00:00:00+00:00,290.42,292.52,289.58,292.15,292.15,65002290,24104.86,₹24104.86,24279.16,₹24279.16,24035.14,₹24035.14,24248.449999999997,₹24248.45
2005-01-05 00:00:00+00:00,292.34,292.42,291.18,291.52,291.52,32732877,24264.219999999998,₹24264.22,24270.86,₹24270.86,24167.940000000002,₹24167.94,24196.16,₹24196.16
2005-01-06 00:00:00+00:00,289.14,291.75,288.34,291.48,291.48,20999573,23998.62,₹23998.62,24215.25,₹24215.25,23932.219999999998,₹23932.22,24192.84,₹24192.84
2005-01-07 00:00:00+00:00,291.57,291.84,290.05,291.57,291.57,96248022,24200.309999999998,₹24200.31,24222.719999999998,₹24222.72,24074.15,₹24074.15,24200.309999999998,₹24200.31
2005-01-10 00:00:00+00:00,289.81,291.74,289.39,290.02,290.02,42076568,24054.23,₹24054.23,24214.420000000002,₹24214.42,24019.37,₹24019.37,24071.66,₹24071.66
2005-01-11 00:00:00+00:00,293.47,294.62,290.52,291.23,291.23,64136756,24358.010000000002,₹24358.01,24453.46,₹24453.46,24113.16,₹24113.16,24172.09,₹24172.09
2005-01-12 00:00:00+00:00,290.37,292.6,290.28,292.2,292.2,90249264,24100.71,₹24100.71,24285.800000000003,₹24285.80,24093.239999999998,₹24093.24,24252.6,₹24252.60
2005-01-13 00:00:00+00:00,294.43,298.42,293.95,295.33,295.33,20589209,24437.690000000002,₹24437.69,24768.86,₹24768.86,24397.85,₹24397.85,24512.39,₹24512.39
2005-01-14 00:00:00+00:00,297.75,298.53,297.47,297.89,297.89,76163415,24713.25,₹24713.25,24777.989999999998,₹24777.99,24690.010000000002,₹24690.01,24724.87,₹24724.87
2005-01-17 00:00:00+00:00,296.37,297.94,296.19,296.57,296.57,4684945,24598.71,₹24598.71,24729.02,₹24729.02,24583.77,₹24583.77,24615.309999999998,₹24615.31
2005-01-18 00:00:00+00:00,297.71,298.94,297.24,298.26,298.26,35657300,24709.929999999997,₹24709.93,24812.02,₹24812.02,24670.920000000002,₹24670.92,24755.579999999998,₹24755.58
2005-01-19 00:00:00+00:00,296.33,297.01,295.1,296.41,296.41,76455550,24595.39,₹24595.39,24651.829999999998,₹24651.83,24493.300000000003,₹24493.30,24602.030000000002,₹24602.03
2005-01-20 00:00:00+00:00,296.59,298.39,294.7,297.85,297.85,25703278,24616.969999999998,₹24616.97,24766.37,₹24766.37,24460.1,₹24460.10,24721.550000000003,₹24721.55
2005-01-21 00:00:00+00:00,297.22,298.22,296.12,296.86,296.86,3806084,24669.260000000002,₹24669.26,24752.260000000002,₹24752.26,24577.96,₹24577.96,24639.38,₹24639.38
2005-01-24 00:00:00+00:00,292.55,295.61,292.03,294.87,294.87,91354446,24281.65,₹24281.65,24535.63,₹24535.63,24238.489999999998,₹24238.49,24474.21,₹24474.21
2005-01-25 00:00:00+00:00,295.45,295.79,294.32,295.48,295.48,65268190,24522.35,₹24522.35,24550.570000000003,₹24550.57,24428.559999999998,₹24428.56,24524.84,₹24524.84
2005-01-26 00:00:00+00:00,289.58,290.6,289.47,290.18,290.18,95734041,24035.14,₹24035.14,24119.800000000003,₹24119.80,24026.010000000002,₹24026.01,24084.940000000002,₹24084.94
2005-01-27 00:00:00+00:00,287.74,288.84,286.58,286.73,286.73,24714686,23882.420000000002,₹23882.42,23973.719999999998,₹23973.72,23786.14,₹23786.14,23798.59,₹23798.59
2005-01-28 00:00:00+00:00,288.18,288.41,284.76,286.42,286.42,43921603,23918.940000000002,₹23918.94,23938.030000000002,₹23938.03,23635.079999999998,₹23635.08,23772.86,₹23772.86
2005-01-31 00:00:00+00:00,286.31,287.68,286.07,286.64,286.64,98731755,23763.73,₹23763.73,23877.440000000002,₹23877.44,23743.809999999998,₹23743.81,23791.12,₹23791.12
2005-02-01 00:00:00+00:00,287.34,289.73,284.65,285.95,285.95,27772081,23849.219999999998,₹23849.22,24047.59,₹24047.59,23625.949999999997,₹23625.95,23733.85,₹23733.85
2005-02-02 00:00:00+00:00,282.52,282.94,282.23,282.84,282.84,94643196,23449.16,₹23449.16,23484.02,₹23484.02,23425.09,₹23425.09,23475.719999999998,₹23475.72
2005-02-03 00:00:00+00:00,280.29,282.83,278.44,281.25,281.25,79437566,23264.070000000003,₹23264.07,23474.89,₹23474.89,23110.52,₹23110.52,23343.75,₹23343.75
2005-02-04 00:00:00+00:00,283.83,283.86,280.31,282.09,282.09,23954137,23557.89,₹23557.89,23560.38,₹23560.38,23265.73,₹23265.73,23413.469999999998,₹23413.47
2005-02-07 00:00:00+00:00,283.82,284.53,282.82,283.3,283.3,35972081,23557.059999999998,₹23557.06,23615.989999999998,₹23615.99,23474.059999999998,₹23474.06,23513.9,₹23513.90
2005-02-08 00:00:00+00:00,283.32,285.06,280.64,283.32,283.32,72393155,23515.559999999998,₹23515.56,23659.98,₹23659.98,23293.12,₹23293.12,23515.559999999998,₹23515.56
2005-02-09 00:00:00+00:00,286.37,287.31,285.62,285.68,285.68,57433902,23768.71,₹23768.71,23846.73,₹23846.73,23706.46,₹23706.46,23711.440000000002,₹23711.44
2005-02-10 00:00:00+00:00,286.8,287.33,285.5,286.53,286.53,18045309,23804.4,₹23804.40,23848.39,₹23848.39,23696.5,₹23696.50,23781.989999999998,₹23781.99
2005-02-11 00:00:00+00:00,285.01,285.18,283.57,285.08,285.08,58915493,23655.829999999998,₹23655.83,23669.940000000002,₹23669.94,23536.309999999998,₹23536.31,23661.64,₹23661.64
2005-02-14 00:00:00+00:00,283.24,285.54,282.5,284.57,284.57,41232791,23508.920000000002,₹23508.92,23699.820000000003,₹23699.82,23447.5,₹23447.50,23619.309999999998,₹23619.31
2005-02-15 00:00:00+00:00,281.54,282.79,281.25,281.81,281.81,14701281,23367.820000000003,₹23367.82,23471.570000000003,₹23471.57,23343.75,₹23343.75,23390.23,₹23390.23
2005-02-16 00:00:00+00:00,282.27,282.34,281.1,281.65,281.65,60342625,23428.41,₹23428.41,23434.219999999998,₹23434.22,23331.300000000003,₹23331.30,23376.949999999997,₹23376.95
2005-02-17 00:00:00+00:00,283.8,284.04,281.28,283.92,283.92,8246122,23555.4,₹23555.40,23575.320000000003,₹23575.32,23346.239999999998,₹23346.24,23565.36,₹23565.36
2005-02-18 00:00:00+00:00,286.25,286.87,285.27,285.34,285.34,23694215,23758.75,₹23758.75,23810.21,₹23810.21,23677.41,₹23677.41,23683.219999999998,₹23683.22
2005-02-21 00:00:00+00:00,288.58,288.65,287.24,288.2,288.2,17033200,23952.14,₹23952.14,23957.949999999997,₹23957.95,23840.920000000002,₹23840.92,23920.6,₹23920.60
2005-02-22 00:00:00+00:00,286.76,288.46,286.33,287.64,287.64,20276308,23801.079999999998,₹23801.08,23942.179999999997,₹23942.18,23765.39,₹23765.39,23874.12,₹23874.12
2005-02-23 00:00:00+00:00,289.06,290.45,287.99,290.38,290.38,49946827,23991.98,₹23991.98,24107.35,₹24107.35,23903.170000000002,₹23903.17,24101.54,₹24101.54
2005-02-24 00:00:00+00:00,289.89,290.9,288.98,290.05,290.05,88915043,24060.87,₹24060.87,24144.699999999997,₹24144.70,23985.34,₹23985.34,24074.15,₹24074.15
2005-02-25 00:00:00+00:00,292.52,293.15,291.91,293.04,293.04,94002618,24279.16,₹24279.16,24331.449999999997,₹24331.45,24228.530000000002,₹24228.53,24322.320000000003,₹24322.32
2005-02-28 00:00:00+00:00,293.38,294.38,292.27,293.05,293.05,42733627,24350.54,₹24350.54,24433.54,₹24433.54,24258.41,₹24258.41,24323.15,₹24323.15
2005-03-01 00:00:00+00:00,293.79,295.69,292.97,294.51,294.51,45710313,24384.570000000003,₹24384.57,24542.27,₹24542.27,24316.510000000002,₹24316.51,24444.329999999998,₹24444.33
2005-03-02 00:00:00+00:00,296.9,299.04,296.16,297.51,297.51,13024975,24642.699999999997,₹24642.70,24820.320000000003,₹24820.32,24581.280000000002,₹24581.28,24693.329999999998,₹24693.33
2005-03-03 00:00:00+00:00,298.23,298.28,297.13,297.17,297.17,26185840,24753.09,₹24753.09,24757.239999999998,₹24757.24,24661.79,₹24661.79,24665.11,₹24665.11
2005-03-04 00:00:00+00:00,297.81,298.58,296.43,297.66,297.66,96731205,24718.23,₹24718.23,24782.14,₹24782.14,24603.690000000002,₹24603.69,24705.780000000002,₹24705.78
2005-03-07 00:00:00+00:00,299.59,300.32,298.65,300.29,300.29,21342907,24865.969999999998,₹24865.97,24926.559999999998,₹24926.56,24787.949999999997,₹24787.95,24924.070000000003,₹24924.07
2005-03-08 00:00:00+00:00,300.09,300.41,300.06,300.07,300.07,93283616,24907.469999999998,₹24907.47,24934.030000000002,₹24934.03,24904.98,₹24904.98,24905.809999999998,₹24905.81
2005-03-09 00:00:00+00:00,298.86,301.0,297.37,297.48,297.48,81500908,24805.38,₹24805.38,24983.0,₹24983.00,24681.71,₹24681.71,24690.84,₹24690.84
2005-03-10 00:00:00+00:00,302.11,302.8,300.65,301.82,301.82,94571592,25075.13,₹25075.13,25132.4,₹25132.40,24953.949999999997,₹24953.95,25051.059999999998,₹25051.06
2005-03-11 00:00:00+00:00,301.52,302.69,299.96,300.93,300.93,42766555,25026.16,₹25026.16,25123.27,₹25123.27,24896.679999999997,₹24896.68,24977.190000000002,₹24977.19
2005-03-14 00:00:00+00:00,300.54,301.32,300.3,301.29,301.29,80185313,24944.820000000003,₹24944.82,25009.559999999998,₹25009.56,24924.9,₹24924.90,25007.070000000003,₹25007.07
2005-03-15 00:00:00+00:00,304.68,305.34,303.16,303.66,303.66,83397343,25288.440000000002,₹25288.44,25343.219999999998,₹25343.22,25162.280000000002,₹25162.28,25203.780000000002,₹25203.78
2005-03-16 00:00:00+00:00,304.81,305.36,302.38,302.49,302.49,81528320,25299.23,₹25299.23,25344.88,₹25344.88,25097.54,₹25097.54,25106.670000000002,₹25106.67
2005-03-17 00:00:00+00:00,299.73,302.22,299.34,300.52,300.52,75317912,24877.59,₹24877.59,25084.260000000002,₹25084.26,24845.219999999998,₹24845.22,24943.16,₹24943.16
2005-03-18 00:00:00+00:00,299.9,301.4,298.62,301.08,301.08,98954241,24891.699999999997,₹24891.70,25016.199999999997,₹25016.20,24785.46,₹24785.46,24989.64,₹24989.64
2005-03-21 00:00:00+00:00,297.72,298.63,296.28,297.55,297.55,48523407,24710.760000000002,₹24710.76,24786.29,₹24786.29,24591.239999999998,₹24591.24,24696.65,₹24696.65
2005-03-22 00:00:00+00:00,297.89,298.05,296.59,297.02,297.02,79301246,24724.87,₹24724.87,24738.15,₹24738.15,24616.969999999998,₹24616.97,24652.66,₹24652.66
2005-03-23 00:00:00+00:00,297.47,298.18,296.61,297.56,297.56,24537447,24690.010000000002,₹24690.01,24748.940000000002,₹24748.94,24618.63,₹24618.63,24697.48,₹24697.48
2005-03-24 00:00:00+00:00,296.02,297.49,295.68,297.07,297.07,60441259,24569.66,₹24569.66,24691.670000000002,₹24691.67,24541.440000000002,₹24541.44,24656.809999999998,₹24656.81
2005-03-25 00:00:00+00:00,293.92,294.29,292.43,294.03,294.03,53420420,24395.36,₹24395.36,24426.070000000003,₹24426.07,24271.690000000002,₹24271.69,24404.489999999998,₹24404.49
2005-03-28 00:00:00+00:00,297.87,298.98,296.86,297.27,297.27,9343190,24723.21,₹24723.21,24815.34,₹24815.34,24639.38,₹24639.38,24673.41,₹24673.41
2005-03-29 00:00:00+00:00,297.12,297.68,296.16,297.53,297.53,26126483,24660.96,₹24660.96,24707.440000000002,₹24707.44,24581.280000000002,₹24581.28,24694.989999999998,₹24694.99
